epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
44,3334.05,0.4417,1.24454,0.39786,nan,0.89814,0.29388,0.17165,nan,nan,nan,0.000717875,0.000717875,0.000717875
45,3408.96,0.45378,1.20822,0.40335,nan,0.89814,0.29388,0.17165,nan,nan,nan,0.0007055,0.0007055,0.0007055
46,3483.95,0.43895,1.2078,0.38969,nan,0.89814,0.29388,0.17165,nan,nan,nan,0.000693125,0.000693125,0.000693125
47,3558.99,0.44832,1.19798,0.4012,nan,0.89814,0.29388,0.17165,nan,nan,nan,0.00068075,0.00068075,0.00068075
48,3633.89,0.44577,1.16971,0.40961,nan,0.89814,0.29388,0.17165,nan,nan,nan,0.000668375,0.000668375,0.000668375
49,3708.88,0.43927,1.15788,0.38673,nan,0.89814,0.29388,0.17165,nan,nan,nan,0.000656,0.000656,0.000656
50,3783.93,0.45088,1.16989,0.40265,nan,0.89814,0.29388,0.17165,nan,nan,nan,0.000643625,0.000643625,0.000643625
51,3859.11,0.43154,1.17109,0.39181,nan,0.89814,0.29388,0.17165,nan,nan,nan,0.00063125,0.00063125,0.00063125
52,3934.32,0.4378,1.17567,0.39443,nan,0.89814,0.29388,0.17165,nan,nan,nan,0.000618875,0.000618875,0.000618875
53,4009.55,0.4275,1.14194,0.3977,nan,0.89814,0.29388,0.17165,nan,nan,nan,0.0006065,0.0006065,0.0006065
54,4084.73,0.42382,1.15302,0.38795,nan,0.89814,0.29388,0.17165,nan,nan,nan,0.000594125,0.000594125,0.000594125
55,4159.96,0.42869,1.13215,0.38424,nan,0.89814,0.29388,0.17165,nan,nan,nan,0.00058175,0.00058175,0.00058175
56,4235.06,0.41993,1.13263,0.38166,nan,0.89814,0.29388,0.17165,nan,nan,nan,0.000569375,0.000569375,0.000569375
57,4310.29,0.4031,1.12688,0.37759,nan,0.89814,0.29388,0.17165,nan,nan,nan,0.000557,0.000557,0.000557
58,4385.31,0.41134,1.11719,0.37591,nan,0.89814,0.29388,0.17165,nan,nan,nan,0.000544625,0.000544625,0.000544625
59,4460.44,0.41795,1.12631,0.37694,nan,0.89814,0.29388,0.17165,nan,nan,nan,0.00053225,0.00053225,0.00053225
60,4535.71,0.40912,1.07316,0.37528,nan,0.89814,0.29388,0.17165,nan,nan,nan,0.000519875,0.000519875,0.000519875
61,4611.2,0.39573,1.10188,0.36677,nan,0.89814,0.29388,0.17165,nan,nan,nan,0.0005075,0.0005075,0.0005075
