epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.1503,0.83553,2.23789,1.21131,0.61228,0.60043,0.66657,0.5085,0.96816,1.95031,1.55613,0.000410354,0.000410354,0.000410354
2,21.8171,0.89204,1.50068,1.2403,0.71787,0.67335,0.75179,0.53624,1.01601,1.55112,1.482,0.000818833,0.000818833,0.000818833
3,32.4079,0.95609,1.41227,1.28246,0.68691,0.7242,0.75158,0.53027,1.11621,1.69935,1.54186,0.00121906,0.00121906,0.00121906
4,42.9155,0.96529,1.33599,1.27847,0.76224,0.66812,0.75436,0.48161,1.19941,1.47617,1.60455,0.00121287,0.00121287,0.00121287
5,53.4732,0.93436,1.26767,1.25943,0.76596,0.64848,0.7513,0.51,1.21456,1.53036,1.77106,0.0012005,0.0012005,0.0012005
6,64.1124,0.92733,1.18169,1.2603,0.66299,0.68532,0.74912,0.526,1.03851,1.54358,1.43254,0.00118812,0.00118812,0.00118812
7,74.6196,0.89595,1.07636,1.22254,0.68724,0.65237,0.68881,0.49321,1.07944,1.84804,1.50661,0.00117575,0.00117575,0.00117575
8,85.2083,0.87065,0.99488,1.21787,0.76773,0.6752,0.76308,0.53255,1.18938,1.59172,1.72997,0.00116337,0.00116337,0.00116337
9,95.7456,0.84948,0.94634,1.19594,0.83739,0.73167,0.85361,0.62597,1.02081,1.2864,1.52104,0.001151,0.001151,0.001151
10,106.447,0.84931,0.94289,1.19535,0.90934,0.78609,0.88388,0.65025,1.01999,0.87685,1.54223,0.00113863,0.00113863,0.00113863
11,117.203,0.83817,0.91241,1.18948,0.85957,0.77581,0.86188,0.65642,0.94647,0.90525,1.39051,0.00112625,0.00112625,0.00112625
12,127.935,0.80841,0.86584,1.15843,0.83453,0.776,0.8537,0.6464,1.02728,1.26723,1.4918,0.00111388,0.00111388,0.00111388
13,138.54,0.82536,0.8676,1.17735,0.85917,0.82662,0.88762,0.67949,0.91259,0.91985,1.32323,0.0011015,0.0011015,0.0011015
14,149.203,0.81025,0.85059,1.16029,0.87676,0.78449,0.89016,0.66933,0.89274,0.95568,1.28932,0.00108913,0.00108913,0.00108913
15,159.886,0.79086,0.80387,1.14888,0.84967,0.79859,0.87799,0.68113,0.92681,0.94602,1.3981,0.00107675,0.00107675,0.00107675
16,170.573,0.80462,0.7969,1.16726,0.87384,0.84455,0.90875,0.68936,1.01882,1.0441,1.48762,0.00106437,0.00106437,0.00106437
17,181.219,0.79001,0.77234,1.15805,0.83729,0.80804,0.88124,0.66295,1.0537,0.82297,1.47311,0.001052,0.001052,0.001052
18,191.895,0.78271,0.78261,1.14929,0.88327,0.80913,0.90248,0.69793,0.95845,0.88175,1.35156,0.00103962,0.00103962,0.00103962
19,202.623,0.78033,0.74531,1.15275,0.92182,0.83372,0.92958,0.71242,0.94415,0.6633,1.41983,0.00102725,0.00102725,0.00102725
20,213.317,0.76221,0.72862,1.14406,0.89791,0.80018,0.89083,0.69013,0.91695,0.76745,1.37086,0.00101488,0.00101488,0.00101488
21,223.99,0.74645,0.71436,1.12867,0.93465,0.85235,0.92504,0.72634,0.93805,0.72438,1.36586,0.0010025,0.0010025,0.0010025
22,234.795,0.76583,0.74054,1.13664,0.91123,0.84632,0.91475,0.71923,0.93565,0.67864,1.36591,0.000990125,0.000990125,0.000990125
23,245.388,0.72897,0.67895,1.12404,0.88109,0.82943,0.90106,0.7003,0.97138,0.80184,1.31853,0.00097775,0.00097775,0.00097775
24,256.061,0.75,0.71996,1.13027,0.92902,0.82161,0.92027,0.7263,0.99386,0.72548,1.46327,0.000965375,0.000965375,0.000965375
25,266.68,0.71795,0.67353,1.1169,0.912,0.81789,0.90892,0.71833,1.03381,0.7125,1.48356,0.000953,0.000953,0.000953
26,277.411,0.72404,0.66428,1.11676,0.92448,0.87783,0.93672,0.73127,0.91783,0.64101,1.33184,0.000940625,0.000940625,0.000940625
27,288.071,0.71859,0.66731,1.11298,0.92005,0.83601,0.91028,0.71149,0.83995,0.69258,1.25802,0.00092825,0.00092825,0.00092825
28,298.759,0.69475,0.64393,1.09321,0.91264,0.87103,0.9347,0.74247,0.76584,0.584,1.17952,0.000915875,0.000915875,0.000915875
29,309.613,0.70918,0.6341,1.10368,0.92184,0.84682,0.92524,0.72923,0.9756,0.66642,1.38115,0.0009035,0.0009035,0.0009035
30,320.299,0.68738,0.61643,1.08728,0.87996,0.89087,0.93106,0.73358,0.77566,0.66665,1.22296,0.000891125,0.000891125,0.000891125
31,330.986,0.71579,0.6402,1.10438,0.86627,0.84582,0.91317,0.72283,0.92985,0.72126,1.32565,0.00087875,0.00087875,0.00087875
32,341.714,0.68619,0.60514,1.10236,0.90836,0.83884,0.92334,0.73157,0.91892,0.64794,1.4275,0.000866375,0.000866375,0.000866375
33,352.398,0.6914,0.62173,1.09014,0.88541,0.853,0.92675,0.7351,0.84014,0.65389,1.28664,0.000854,0.000854,0.000854
34,363.001,0.67986,0.60221,1.0801,0.92751,0.86044,0.92038,0.72871,0.8793,0.60855,1.32438,0.000841625,0.000841625,0.000841625
35,373.772,0.67383,0.58651,1.08837,0.87386,0.86525,0.91071,0.71666,0.88662,0.64131,1.30321,0.00082925,0.00082925,0.00082925
36,384.522,0.66345,0.59338,1.07893,0.90231,0.87151,0.9356,0.74481,0.88631,0.62782,1.28486,0.000816875,0.000816875,0.000816875
37,395.242,0.66487,0.56979,1.07879,0.9406,0.85995,0.94046,0.7569,0.83813,0.55001,1.40191,0.0008045,0.0008045,0.0008045
38,405.901,0.66786,0.56983,1.08313,0.91796,0.86063,0.93808,0.75756,0.94723,0.5921,1.39918,0.000792125,0.000792125,0.000792125
39,416.653,0.64348,0.56476,1.06918,0.89845,0.83858,0.91707,0.73894,0.85748,0.60796,1.37034,0.00077975,0.00077975,0.00077975
40,427.312,0.65712,0.56362,1.07562,0.89028,0.84036,0.92431,0.73904,0.94692,0.70852,1.43405,0.000767375,0.000767375,0.000767375
41,438.076,0.65761,0.5526,1.0724,0.91906,0.88447,0.93797,0.76634,0.7858,0.60205,1.23532,0.000755,0.000755,0.000755
42,448.85,0.65252,0.52878,1.06511,0.89826,0.85493,0.92161,0.75472,0.88617,0.59547,1.33993,0.000742625,0.000742625,0.000742625
43,459.611,0.64295,0.54429,1.05938,0.9162,0.8664,0.93783,0.75663,0.87646,0.55915,1.38543,0.00073025,0.00073025,0.00073025
44,470.425,0.63209,0.51945,1.05745,0.94939,0.86022,0.93771,0.75549,0.94001,0.66669,1.42115,0.000717875,0.000717875,0.000717875
45,481.132,0.64029,0.53385,1.05916,0.91449,0.86754,0.94084,0.74191,0.94762,0.58735,1.47569,0.0007055,0.0007055,0.0007055
46,491.889,0.63859,0.5355,1.05437,0.95599,0.85329,0.93847,0.7532,0.85374,0.56117,1.39989,0.000693125,0.000693125,0.000693125
47,502.727,0.63358,0.54855,1.06223,0.90467,0.87233,0.93215,0.74697,0.89681,0.62533,1.39031,0.00068075,0.00068075,0.00068075
48,513.353,0.62443,0.52756,1.05687,0.92249,0.89939,0.94961,0.77063,0.83986,0.50912,1.37599,0.000668375,0.000668375,0.000668375
49,524.061,0.61337,0.51697,1.04796,0.95806,0.85721,0.93976,0.76144,0.85873,0.54932,1.43639,0.000656,0.000656,0.000656
50,534.893,0.6168,0.50412,1.05344,0.96817,0.87169,0.93119,0.76365,0.90077,0.57315,1.32002,0.000643625,0.000643625,0.000643625
51,545.631,0.60754,0.50025,1.04503,0.92459,0.86821,0.93249,0.75552,0.83175,0.58299,1.25111,0.00063125,0.00063125,0.00063125
52,556.298,0.60606,0.50085,1.04115,0.9469,0.88367,0.94343,0.77094,0.8251,0.5174,1.2647,0.000618875,0.000618875,0.000618875
53,567.03,0.60311,0.5006,1.04339,0.93358,0.88883,0.94115,0.77417,0.86798,0.55355,1.34029,0.0006065,0.0006065,0.0006065
54,577.808,0.59257,0.48529,1.03265,0.92768,0.9017,0.94721,0.77679,0.83503,0.50708,1.38148,0.000594125,0.000594125,0.000594125
55,588.55,0.5956,0.49809,1.04168,0.93573,0.87119,0.94641,0.78431,0.80311,0.56443,1.29201,0.00058175,0.00058175,0.00058175
56,599.422,0.58433,0.47224,1.0262,0.95473,0.89179,0.95607,0.78988,0.84306,0.51164,1.32994,0.000569375,0.000569375,0.000569375
57,610.231,0.58189,0.48102,1.03397,0.92804,0.90249,0.94631,0.76961,0.84538,0.51083,1.34741,0.000557,0.000557,0.000557
58,621.011,0.59519,0.49325,1.0408,0.91102,0.92474,0.94983,0.78644,0.86103,0.51228,1.33999,0.000544625,0.000544625,0.000544625
59,631.801,0.59902,0.48049,1.03096,0.93477,0.8923,0.94943,0.78049,0.84389,0.48943,1.35171,0.00053225,0.00053225,0.00053225
60,642.462,0.57123,0.45971,1.02409,0.94941,0.89565,0.945,0.7685,0.8537,0.49729,1.35447,0.000519875,0.000519875,0.000519875
61,653.103,0.57484,0.46653,1.03283,0.9594,0.88031,0.95335,0.79695,0.80303,0.50529,1.24422,0.0005075,0.0005075,0.0005075
62,663.935,0.57461,0.46347,1.02686,0.94245,0.89311,0.94871,0.78633,0.8499,0.51651,1.36767,0.000495125,0.000495125,0.000495125
63,674.671,0.57253,0.4665,1.02716,0.94722,0.88927,0.95527,0.79225,0.81713,0.6224,1.33549,0.00048275,0.00048275,0.00048275
64,685.341,0.56841,0.46111,1.01783,0.94482,0.87507,0.94584,0.79057,0.79692,0.50775,1.31369,0.000470375,0.000470375,0.000470375
65,696.094,0.55971,0.44685,1.01473,0.9472,0.87082,0.94109,0.78438,0.81651,0.54161,1.32485,0.000458,0.000458,0.000458
66,706.837,0.54933,0.43949,1.01217,0.95564,0.86938,0.94462,0.79483,0.79865,0.51707,1.35401,0.000445625,0.000445625,0.000445625
67,717.566,0.54872,0.45318,1.01379,0.94454,0.89215,0.94699,0.79745,0.81256,0.50955,1.35645,0.00043325,0.00043325,0.00043325
68,728.27,0.53893,0.43391,1.00508,0.94713,0.88539,0.94558,0.78972,0.84386,0.49488,1.39027,0.000420875,0.000420875,0.000420875
69,738.997,0.56327,0.45535,1.01841,0.95776,0.87985,0.94567,0.79717,0.79108,0.48172,1.37213,0.0004085,0.0004085,0.0004085
70,749.768,0.54584,0.43134,1.00723,0.94404,0.90123,0.94263,0.79667,0.7944,0.4866,1.36187,0.000396125,0.000396125,0.000396125
71,760.466,0.55302,0.42533,1.00934,0.93756,0.90504,0.95436,0.78924,0.80552,0.48345,1.3441,0.00038375,0.00038375,0.00038375
72,771.2,0.54218,0.42764,1.01083,0.95119,0.89938,0.95093,0.79657,0.81435,0.49187,1.32567,0.000371375,0.000371375,0.000371375
73,782.009,0.52997,0.4162,0.99348,0.94783,0.89567,0.94857,0.79949,0.80922,0.46444,1.36153,0.000359,0.000359,0.000359
74,792.741,0.53257,0.41211,1.00385,0.93034,0.89984,0.94664,0.79325,0.78813,0.46837,1.30127,0.000346625,0.000346625,0.000346625
75,803.479,0.53855,0.41633,1.0139,0.96058,0.87774,0.95224,0.79323,0.81743,0.47389,1.35358,0.00033425,0.00033425,0.00033425
76,814.207,0.52064,0.40646,0.99717,0.94471,0.91551,0.95131,0.79831,0.82365,0.52235,1.38034,0.000321875,0.000321875,0.000321875
77,825.037,0.52291,0.40823,0.9976,0.94551,0.90303,0.95043,0.7889,0.82236,0.52161,1.3833,0.0003095,0.0003095,0.0003095
78,835.814,0.5227,0.40835,0.99099,0.95784,0.89258,0.95184,0.7954,0.80938,0.48037,1.39962,0.000297125,0.000297125,0.000297125
79,846.645,0.51394,0.39991,0.98832,0.94393,0.90535,0.94267,0.79197,0.85729,0.56974,1.36115,0.00028475,0.00028475,0.00028475
80,857.382,0.51529,0.39844,0.99548,0.95841,0.90108,0.94799,0.80187,0.88542,0.59536,1.39299,0.000272375,0.000272375,0.000272375
81,868.149,0.50063,0.38807,0.9948,0.97341,0.87773,0.9446,0.79656,0.83833,0.58384,1.36108,0.00026,0.00026,0.00026
82,878.771,0.51785,0.39869,0.99516,0.95322,0.91611,0.94533,0.79492,0.80138,0.4899,1.33678,0.000247625,0.000247625,0.000247625
83,889.434,0.51027,0.39431,0.99194,0.93284,0.91961,0.95135,0.80175,0.81178,0.47755,1.35693,0.00023525,0.00023525,0.00023525
84,900.186,0.50831,0.3894,0.98906,0.96827,0.89649,0.9549,0.80607,0.80961,0.47102,1.34661,0.000222875,0.000222875,0.000222875
85,911.065,0.5137,0.38856,0.9909,0.9638,0.88884,0.95259,0.81055,0.79861,0.48041,1.3495,0.0002105,0.0002105,0.0002105
86,921.818,0.49871,0.38486,0.98264,0.95714,0.89509,0.94809,0.80377,0.79375,0.4894,1.34571,0.000198125,0.000198125,0.000198125
87,932.553,0.49351,0.38346,0.9862,0.96698,0.89306,0.94883,0.79408,0.78957,0.44468,1.35115,0.00018575,0.00018575,0.00018575
88,943.375,0.49907,0.38467,0.98869,0.95037,0.9102,0.95,0.79928,0.79804,0.47141,1.33909,0.000173375,0.000173375,0.000173375
89,954.123,0.49461,0.38798,0.98297,0.95449,0.90401,0.94635,0.79951,0.79986,0.47751,1.32993,0.000161,0.000161,0.000161
90,964.952,0.48791,0.38346,0.97788,0.94725,0.89767,0.94291,0.80087,0.81287,0.50145,1.31806,0.000148625,0.000148625,0.000148625
91,976.499,0.4051,0.29673,0.90251,0.96956,0.87214,0.93704,0.78684,0.82154,0.5006,1.28203,0.00013625,0.00013625,0.00013625
92,987.162,0.38221,0.26403,0.89029,0.93452,0.90593,0.94434,0.79591,0.82535,0.48871,1.3535,0.000123875,0.000123875,0.000123875
93,997.868,0.38215,0.26037,0.88963,0.96383,0.89828,0.94986,0.80301,0.82546,0.48819,1.34956,0.0001115,0.0001115,0.0001115
94,1008.43,0.36951,0.25314,0.88573,0.95722,0.90062,0.95174,0.80853,0.85701,0.48152,1.34793,9.9125e-05,9.9125e-05,9.9125e-05
95,1019,0.37178,0.24813,0.87569,0.96257,0.89125,0.94692,0.80408,0.84444,0.48061,1.36143,8.675e-05,8.675e-05,8.675e-05
96,1029.48,0.37006,0.25048,0.887,0.93458,0.90261,0.94787,0.80844,0.83384,0.50435,1.34004,7.4375e-05,7.4375e-05,7.4375e-05
97,1040.09,0.36697,0.24728,0.88333,0.95129,0.89526,0.94782,0.80996,0.83364,0.49941,1.33224,6.2e-05,6.2e-05,6.2e-05
98,1050.64,0.35686,0.23964,0.88104,0.95417,0.89198,0.94959,0.81343,0.83839,0.50869,1.32502,4.9625e-05,4.9625e-05,4.9625e-05
99,1061.34,0.35651,0.23998,0.87881,0.95456,0.89393,0.95007,0.8136,0.83823,0.51671,1.33237,3.725e-05,3.725e-05,3.725e-05
100,1072.01,0.35311,0.2359,0.871,0.9523,0.89751,0.94992,0.81312,0.84141,0.51939,1.33034,2.4875e-05,2.4875e-05,2.4875e-05
